file path,is mock,mockito,easymock,powermock
C:\Apache project\tiles\tiles-api\src\test\java\org\apache\tiles\AttributeTest.java,True,False,True,False
C:\Apache project\tiles\tiles-api\src\test\java\org\apache\tiles\BasicAttributeContextTest.java,True,False,True,False
C:\Apache project\tiles\tiles-api\src\test\java\org\apache\tiles\TilesContainerWrapperTest.java,True,False,True,False
C:\Apache project\tiles\tiles-api\src\test\java\org\apache\tiles\access\TilesAccessTest.java,True,False,True,False
C:\Apache project\tiles\tiles-compat\src\test\java\org\apache\tiles\compat\preparer\UrlPreparerTest.java,True,False,True,False
C:\Apache project\tiles\tiles-core\src\test\java\org\apache\tiles\context\TilesRequestContextHolderTest.java,True,False,True,False
C:\Apache project\tiles\tiles-core\src\test\java\org\apache\tiles\definition\LocaleDefinitionsFactoryTest.java,True,False,True,False
C:\Apache project\tiles\tiles-core\src\test\java\org\apache\tiles\definition\UnresolvingLocaleDefinitionsFactoryTest.java,True,False,True,False
C:\Apache project\tiles\tiles-core\src\test\java\org\apache\tiles\definition\dao\BaseLocaleUrlDefinitionDAOTest.java,True,False,True,False
C:\Apache project\tiles\tiles-core\src\test\java\org\apache\tiles\definition\dao\CachingLocaleUrlDefinitionDAOTest.java,True,False,True,False
C:\Apache project\tiles\tiles-core\src\test\java\org\apache\tiles\definition\dao\LocaleUrlDefinitionDAOTest.java,True,False,True,False
C:\Apache project\tiles\tiles-core\src\test\java\org\apache\tiles\definition\dao\ResolvingLocaleUrlDefinitionDAOTest.java,True,False,True,False
C:\Apache project\tiles\tiles-core\src\test\java\org\apache\tiles\definition\pattern\AbstractPatternDefinitionResolverTest.java,True,False,True,False
C:\Apache project\tiles\tiles-core\src\test\java\org\apache\tiles\definition\pattern\BasicPatternDefinitionResolverTest.java,True,False,True,False
C:\Apache project\tiles\tiles-core\src\test\java\org\apache\tiles\definition\pattern\PrefixedPatternDefinitionResolverTest.java,True,False,True,False
C:\Apache project\tiles\tiles-core\src\test\java\org\apache\tiles\evaluator\BasicAttributeEvaluatorFactoryTest.java,True,False,True,False
C:\Apache project\tiles\tiles-core\src\test\java\org\apache\tiles\factory\BasicTilesContainerFactoryTest.java,True,False,True,False
C:\Apache project\tiles\tiles-core\src\test\java\org\apache\tiles\impl\BasicTilesContainerTest.java,True,False,True,False
C:\Apache project\tiles\tiles-core\src\test\java\org\apache\tiles\impl\BasicTilesContainerUnitTest.java,True,False,True,False
C:\Apache project\tiles\tiles-core\src\test\java\org\apache\tiles\impl\mgmt\CachingTilesContainerTest.java,True,False,True,False
C:\Apache project\tiles\tiles-core\src\test\java\org\apache\tiles\locale\impl\DefaultLocaleResolverTest.java,True,False,True,False
C:\Apache project\tiles\tiles-core\src\test\java\org\apache\tiles\renderer\DefinitionRendererTest.java,True,False,True,False
C:\Apache project\tiles\tiles-core\src\test\java\org\apache\tiles\startup\AbstractTilesInitializerTest.java,True,False,True,False
C:\Apache project\tiles\tiles-core\src\test\java\org\apache\tiles\startup\DefaultTilesInitializerTest.java,True,False,True,False
C:\Apache project\tiles\tiles-el\src\test\java\org\apache\tiles\el\ELAttributeEvaluatorTest.java,True,False,True,False
C:\Apache project\tiles\tiles-el\src\test\java\org\apache\tiles\el\ELContextImplTest.java,True,False,True,False
C:\Apache project\tiles\tiles-el\src\test\java\org\apache\tiles\el\JspExpressionFactoryFactoryTest.java,True,False,True,False
C:\Apache project\tiles\tiles-el\src\test\java\org\apache\tiles\el\ScopeELResolverTest.java,True,False,True,False
C:\Apache project\tiles\tiles-el\src\test\java\org\apache\tiles\el\TilesContextBeanELResolverTest.java,True,False,True,False
C:\Apache project\tiles\tiles-el\src\test\java\org\apache\tiles\el\TilesContextELResolverTest.java,True,False,True,False
C:\Apache project\tiles\tiles-extras\src\test\java\org\apache\tiles\extras\complete\CompleteAutoloadTilesContainerFactoryTest.java,True,False,True,False
C:\Apache project\tiles\tiles-extras\src\test\java\org\apache\tiles\extras\complete\CompleteAutoloadTilesInitializerTest.java,True,False,True,False
C:\Apache project\tiles\tiles-extras\src\test\java\org\apache\tiles\extras\module\ModularTilesInitializerTest.java,True,False,True,False
C:\Apache project\tiles\tiles-extras\src\test\java\org\apache\tiles\extras\renderer\OptionsRendererTest.java,True,False,True,False
C:\Apache project\tiles\tiles-jsp\src\test\java\org\apache\tiles\jsp\taglib\UseAttributeTagTest.java,True,False,True,False
C:\Apache project\tiles\tiles-mvel\src\test\java\org\apache\tiles\mvel\MVELAttributeEvaluatorTest.java,True,False,True,False
C:\Apache project\tiles\tiles-mvel\src\test\java\org\apache\tiles\mvel\ReadOnlyVariableResolverFactoryTest.java,True,False,True,False
C:\Apache project\tiles\tiles-mvel\src\test\java\org\apache\tiles\mvel\ReadOnlyVariableResolverTest.java,True,False,True,False
C:\Apache project\tiles\tiles-mvel\src\test\java\org\apache\tiles\mvel\ScopeVariableResolverFactoryTest.java,True,False,True,False
C:\Apache project\tiles\tiles-mvel\src\test\java\org\apache\tiles\mvel\TilesContextBeanVariableResolverFactoryTest.java,True,False,True,False
C:\Apache project\tiles\tiles-mvel\src\test\java\org\apache\tiles\mvel\TilesContextVariableResolverFactoryTest.java,True,False,True,False
C:\Apache project\tiles\tiles-ognl\src\test\java\org\apache\tiles\ognl\AnyScopePropertyAccessorTest.java,True,False,True,False
