file_path,method,api
/bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieWriteToJournalTest.java,withAnyArguments,org.powermock.api.mockito.expectation.WithAnyArguments<org.apache.bookkeeper.bookie.Journal>
/bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieWriteToJournalTest.java,whenNew,org.powermock.api.mockito.PowerMockito
/bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/LedgerDirsManagerTest.java,mockStatic,org.powermock.api.mockito.PowerMockito
/bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/LedgerDirsManagerTest.java,mock,org.powermock.api.mockito.PowerMockito
/bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/LedgerDirsManagerTest.java,when,org.powermock.api.mockito.PowerMockito
/bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/GarbageCollectorThreadTest.java,setInternalState,org.powermock.reflect.Whitebox
/bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/GarbageCollectorThreadTest.java,getInternalState,org.powermock.reflect.Whitebox
/bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieJournalMaxMemoryTest.java,withAnyArguments,org.powermock.api.mockito.expectation.WithAnyArguments<org.apache.bookkeeper.bookie.JournalChannel>
/bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieJournalMaxMemoryTest.java,whenNew,org.powermock.api.mockito.PowerMockito
/bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieJournalMaxMemoryTest.java,setInternalState,org.powermock.reflect.Whitebox
/bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieJournalMaxMemoryTest.java,getInternalState,org.powermock.reflect.Whitebox
/bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieJournalTest.java,mock,org.powermock.api.mockito.PowerMockito
/bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieJournalTest.java,mock,org.powermock.api.mockito.PowerMockito
/bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieJournalTest.java,mock,org.powermock.api.mockito.PowerMockito
/bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieJournalTest.java,when,org.powermock.api.mockito.PowerMockito
/bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieJournalTest.java,mockStatic,org.powermock.api.mockito.PowerMockito
/bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieJournalTest.java,when,org.powermock.api.mockito.PowerMockito
/bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieJournalPageCacheFlushTest.java,setInternalState,org.powermock.reflect.Whitebox
/bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieJournalPageCacheFlushTest.java,withAnyArguments,org.powermock.api.mockito.expectation.WithAnyArguments<org.apache.bookkeeper.bookie.JournalChannel>
/bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieJournalPageCacheFlushTest.java,whenNew,org.powermock.api.mockito.PowerMockito
